"Domain","Page Rank Visual","Page Rank Value (Rounded)","Page Rank Value"
"bsquare.com","","5/10","5.2"
"buildium.com","","5/10","5.35"
"bullhorn.com","","6/10","5.78"
"bunchball.com","","6/10","5.62"
"bywatersolutions.com","","5/10","5.07"
"mastercard.us","","6/10","6.21"
"osfa.illinois.edu","","5/10","4.63"
"plm.automation.siemens.com","","6/10","5.88"
"cecoenviro.com","","5/10","4.73"
"infor.com","","6/10","5.87"
"chsinc.com","","5/10","5.3"
"ctera.com","","5/10","5.41"
"ctl.net","","5/10","5.03"
"cybra.com","","5/10","5.06"
"cadence.com","","6/10","5.85"
"cakewalk.com","","6/10","5.88"
"caliper.com","","6/10","5.84"
"careers.callminer.com","","3/10","3.48"
"callware.com","","4/10","4.4"
"cambiumlearning.com","","5/10","4.63"
"cambridgesemantics.com","","6/10","5.64"
"campusconsortium.org","","4/10","4.05"
"campusmanagement.com","","5/10","5.03"
"carahsoft.com","","5/10","5.31"
"carbonblack.com","","6/10","5.89"
"carbonite.com","","6/10","5.89"
"casebook.net","","5/10","5.38"
"caspio.com","","6/10","5.92"
"catalent.com","","6/10","5.56"
"opentext.com","","6/10","6.04"
"cellport.com","","3/10","3.28"
"centerspace.net","","5/10","4.68"
"centroinc.com","","4/10","3.96"
"cepstral.com","","5/10","4.86"
"ceridian.com","","6/10","5.89"
"cerner.com","","6/10","5.92"
"channeladvisor.com","","6/10","5.73"
"checkpoint.com","","7/10","6.59"
"culinaryschools.org","","5/10","5.48"
"cherry-world.com","","5/10","5.38"
"cherwell.com","","5/10","5.28"
"synopsys.com","","6/10","6.2"
"cincom.com","","5/10","5.1"
"aenetworks.com","","6/10","5.91"
"circlecommerce.com","","4/10","4.23"
"careers.smartrecruiters.com","","6/10","5.56"
"webex.com","","7/10","6.58"
"citrix.com","","6/10","6.38"
"civicplus.com","","6/10","5.75"
"clarifai.com","","6/10","5.63"
"claris.com","","6/10","5.57"
"clarizen.com","","6/10","5.51"
"classranked.com","","4/10","3.82"
"clearslide.com","","6/10","5.98"
"oracle.com","","7/10","7.28"
"cleo.com","","5/10","5.46"
"salesforce.com","","7/10","7.49"
"github.com","","9/10","8.78"
"getcloudapp.com","","6/10","6.29"
"cloudbees.com","","6/10","5.8"
"cloudendure.com","","5/10","5.23"
"cloudhealthtech.com","","5/10","5.49"
"cloudsight.ai","","5/10","5.39"
"cloudera.com","","6/10","6.06"
"cloudinary.com","","7/10","6.51"
"cloudwords.com","","5/10","5.09"
"cloverhealth.com","","6/10","5.52"
"clover.com","","6/10","6.35"
"clubhouse.io","","6/10","5.58"
"cockroachlabs.com","","6/10","5.58"
"coda.io","","6/10","5.87"
"codedx.com","","5/10","4.71"
"nuords.com","","4/10","4.01"
"code42.com","","6/10","5.83"
"codeweavers.com","","6/10","6.02"
"thalesgroup.com","","6/10","6.16"
"coherentsolutions.com","","5/10","4.92"
"collab.net","","6/10","5.78"
"collaboratemd.com","","5/10","4.73"
"collaborativedrug.com","","5/10","5.41"
"cologix.com","","5/10","5.32"
"credit-suisse.com","","6/10","6.36"
"commercehub.com","","5/10","5.2"
"careers.commvault.com","","4/10","3.76"
"comodo.com","","6/10","6.34"
"compucom.com","","5/10","5.4"
"compuware.com","","6/10","5.73"
"cmvt.com","","4/10","4.36"
"conductor.com","","6/10","5.69"
"connectbeam.com","","5/10","4.81"
"conservis.ag","","5/10","5"
"consoleconnect.com","","5/10","5.41"
"aptean.com","","5/10","4.91"
"contacttelecom.com","","4/10","3.94"
"contextlabs.com","","5/10","4.79"
"conversica.com","","5/10","5.37"
"conversocial.com","","6/10","5.75"
"convoy.com","","5/10","5.42"
"usajobs.gov","","6/10","6.18"
"coronalabs.com","","6/10","5.9"
"hugedomains.com","","6/10","6.22"
"coupa.com","","6/10","5.72"
"about.coursera.org","","6/10","5.72"
"covermymeds.com","","6/10","5.56"
"cisa.gov","","6/10","6.02"
"crowdoptic.com","","5/10","5.07"
"cupcakedigital.com","","4/10","4.3"
"cvent.com","","7/10","6.59"
"careers.cyberark.com","","4/10","3.94"
"datem.com","","4/10","4.3"
"db.com","","6/10","6.32"
"ddci.com","","4/10","4.47"
"dig64.org","","4/10","4.07"
"dnnsoftware.com","","6/10","5.71"
"dtvinnovations.com","","4/10","3.87"
"dailyjournal.com","","5/10","5.13"
"dakotasoft.com","","4/10","4.2"
"alejandrocremades.com","","5/10","5.34"
"daon.com","","5/10","4.9"
"dataart.com","","6/10","5.51"
"careers.linkedin.com","","5/10","5.38"
"datatreasury.com","","4/10","4.22"
"databricks.com","","6/10","5.85"
"datadoghq.com","","6/10","6.02"
"datalight.com","","5/10","5.45"
"datalogic.com","","5/10","4.9"
"ellucian.com","","6/10","6.06"
"daxcon.com","","3/10","3.44"
"daysmart.com","","5/10","5.17"
"daz3d.com","","6/10","5.85"
"garmin.com","","6/10","6.26"
"deacom.com","","5/10","5.18"
"dealpath.com","","5/10","5.27"
"emssoftware.com","","5/10","4.87"
"careers.ti.com","","5/10","4.85"
"deepwebtech.com","","5/10","5.15"
"deepscale.ai","","5/10","5.28"
"dejal.com","","6/10","5.61"
"delltechnologies.com","","6/10","5.96"
"dell.com","","7/10","6.81"
"salesforce.com","","7/10","7.49"
"democrasoft.com","","5/10","4.65"
"getsmarter.com","","5/10","5.49"
"deque.com","","6/10","6.08"
"wiris.com","","6/10","5.55"
"devar.org","","6/10","5.54"
"devicescape.com","","5/10","5.28"
"disti.com","","5/10","4.72"
"dialogic.com","","5/10","5.44"
"dieselpoint.com","","5/10","5.18"
"generalassemb.ly","","6/10","6.23"
"digitalguardian.com","","6/10","5.67"
"digitalkeystone.com","","4/10","4.32"
"digitalreasoning.com","","5/10","5.29"
"jobs.westerndigital.com","","5/10","5.11"
"digitalriver.com","","5/10","5.4"
"dimins.com","","5/10","5.4"
"asvott.com","","-","-"
"jobs.disneycareers.com","","6/10","5.6"
"dispersion.com","","4/10","4.1"
"diversifiedtechnology.net","","4/10","3.5"
"docmagic.com","","4/10","4.4"
"docker.com","","6/10","6.21"
"docusign.com","","7/10","6.51"
"sodapdf.com","","6/10","5.66"
"doradosoftware.com","","4/10","4.43"
"doximity.com","","6/10","6.13"
"crownek.com","","4/10","3.69"
"dreambox.com","","6/10","5.7"
"dreamfactory.com","","5/10","5.48"
"dreamhammer.com","","5/10","4.68"
"dropbox.com","","8/10","7.96"
"druglogic.com","","3/10","2.64"
"dtsearch.com","","5/10","5.13"
"dynamicyield.com","","6/10","5.71"
"vmware.com","","7/10","6.75"
"dynatrace.com","","7/10","6.54"
"efitechnology.com","","5/10","5.38"
"efilecabinet.com","","6/10","6.19"
"eonreality.com","","6/10","5.82"
"epam.com","","6/10","5.84"
"careers.travelers.com","","5/10","4.93"
"evrythng.com","","6/10","5.63"
"evoice.com","","5/10","5.33"
"jobs.bnymellon.com","","4/10","4.26"
"eastgate.com","","6/10","5.68"
"ibm.com","","8/10","8.11"
"egenera.com","","5/10","4.89"
"eggplantsoftware.com","","5/10","5.04"
"strakertranslations.com","","5/10","4.92"
"empirix.com","","5/10","4.83"
"amplify.com","","6/10","5.7"
"encompass8.com","","4/10","4.28"
"encore.com","","5/10","5.12"
"careers.centerpointenergy.com","","4/10","3.64"
"enertia-software.com","","4/10","4.09"
"engagio.com","","5/10","5.48"
"enigma.com","","6/10","5.56"
"enli.net","","5/10","5"
"enplug.com","","5/10","5.48"
"extremenetworks.com","","6/10","5.51"
"enterprisealumni.com","","5/10","5.44"
"enterprisedb.com","","6/10","5.72"
"divide.com","","5/10","5.09"
"enthought.com","","6/10","5.67"
"entrust.com","","6/10","5.7"
"epic.com","","6/10","5.78"
"epiphanyinc.net","","4/10","4.48"
"nuance.com","","6/10","6.45"
"ericom.com","","6/10","5.7"
"esri.com","","7/10","6.66"
"exelatech.com","","5/10","5.02"
"expensify.com","","6/10","6.19"
"cherwell.com","","5/10","5.28"
"eci.com","","5/10","5.23"
"f5.com","","6/10","6.02"
"fico.com","","6/10","6.04"
"fisglobal.com","","6/10","5.99"
"facebook.com","","10/10","10"
"facilitysource.com","","4/10","4.37"
"falconstor.com","","5/10","5.31"
"fastspring.com","","5/10","5.47"
"fastly.com","","6/10","6.15"
"fatkatspizzeria.com","","4/10","4.02"
"fellowshipone.com","","6/10","5.56"
"fetchsoftworks.com","","6/10","5.56"
"fieldglass.com","","5/10","5.32"
"hugedomains.com","","6/10","6.22"
"figure53.com","","6/10","5.57"
"finalcode.com","","5/10","4.61"
"financialforce.com","","5/10","5.49"
"en.wikipedia.org","","9/10","9.22"
"fiscalnote.com","","6/10","5.53"
"fishbowlinventory.com","","6/10","5.73"
"fixstars.com","","5/10","5.45"
"flexsim.com","","5/10","4.6"
"flexera.com","","6/10","5.5"
"floqast.com","","5/10","5.31"
"flok.com","","5/10","4.92"
"flow3d.com","","5/10","4.7"
"vancopayments.com","","5/10","5.16"
"careers.epic.com","","5/10","5.4"
"fortinet.com","","6/10","6.14"
"fortefoundation.org","","6/10","5.76"
"freewave.com","","5/10","4.78"
"freeflysystems.com","","5/10","5.28"
"fungible.com","","6/10","5.5"
"culture.g2.com","","5/10","4.67"
"emerson.com","","6/10","5.96"
"goinglobal.com","","6/10","5.55"
"gses.com","","5/10","4.7"
"infor.com","","6/10","5.87"
"igt.com","","6/10","5.6"
"gxs.com","","5/10","4.82"
"thegadgetflow.com","","7/10","7.1"
"gazelle.com","","6/10","5.82"
"borisfx.com","","6/10","5.83"
"computerscience.org","","6/10","5.51"
"genesys.com","","6/10","6"
"genuitec.com","","6/10","5.51"
"gesturetek.com","","5/10","5.32"
"amazon.jobs","","6/10","6.24"
"gigmax.com","","4/10","3.86"
"glitch.com","","6/10","6.01"
"globalscape.com","","5/10","5.35"
"glooko.com","","6/10","5.67"
"goguardian.com","","6/10","5.57"
"goldensoftware.com","","5/10","5.05"
"thegoldensource.com","","5/10","5"
"good.com","","6/10","5.51"
"gooddata.com","","6/10","5.63"
"gotobus.com","","6/10","5.76"
"govbizconnect.com","","4/10","3.7"
"goverlan.com","","5/10","4.7"
"grabcad.com","","6/10","5.85"
"grahammagnetics.com","","3/10","2.65"
"grammatech.com","","5/10","5.27"
"graphpad.com","","6/10","5.69"
"graylog.org","","6/10","5.53"
"ghs.com","","6/10","5.52"
"greenhouse.io","","6/10","5.9"
"gridpoint.com","","5/10","5.24"
"acronis.com","","6/10","6.16"
"guidancesoftware.com","","6/10","5.53"
"guidance.com","","5/10","5.04"
"guidewire.com","","6/10","5.51"
"gupshup.io","","5/10","5.47"
"zippia.com","","6/10","5.64"
"www8.hp.com","","7/10","6.71"
"halcyoninc.com","","3/10","2.57"
"lockheedmartinjobs.com","","5/10","5.27"
"harman.com","","6/10","5.91"
"hashicorp.com","","6/10","5.88"
"helionenergy.com","","5/10","5.44"
"helixre.com","","5/10","5.27"
"hellosociety.com","","6/10","5.84"
"key.com","","6/10","5.91"
"helpscout.com","","6/10","5.74"
"helpsystems.com","","5/10","5.42"
"hpe.com","","6/10","6.37"
"hexnode.com","","6/10","5.53"
"highfidelity.com","","6/10","5.5"
"hilgraeve.com","","5/10","4.98"
"hillcrestlabs.com","","5/10","5.38"
"hitachivantara.com","","6/10","5.65"
"bls.gov","","7/10","6.88"
"vidbox.company","","4/10","4.44"
"intelligrated.com","","5/10","5.1"
"hoopla.net","","5/10","5.26"
"hottrix.com","","5/10","4.68"
"hubspot.com","","7/10","7.25"
"hubstaff.com","","6/10","5.82"
"humanyze.com","","5/10","5.48"
"hyland.com","","5/10","5.25"
"hyperlooptt.com","","5/10","4.6"
"logixbanking.com","","5/10","4.58"
"itvjobs.com","","5/10","5.01"
"igearonline.com","","4/10","4.09"
"ibm.com","","8/10","8.11"
"careers.icims.com","","5/10","5.24"
"idroidusa.com","","4/10","3.8"
"banktivity.com","","3/10","3.45"
"imoderate.com","","5/10","4.86"
"iongeo.com","","5/10","5.19"
"iqms.com","","5/10","4.9"
"iris.edu","","6/10","5.66"
"itasoftware.com","","6/10","5.82"
"izotope.com","","6/10","5.88"
"icewarp.com","","6/10","5.62"
"ideascale.com","","6/10","5.68"
"ideracorp.com","","5/10","4.7"
"ilesfay.com","","4/10","4.35"
"imagesourceinc.com","","5/10","5.36"
"impelsys.com","","5/10","4.85"
"imperva.com","","6/10","6.06"
"impinj.com","","6/10","5.55"
"imply.io","","5/10","5.38"
"inmarket.com","","6/10","5.7"
"lockheedmartin.com","","6/10","6.33"
"inedo.com","","6/10","5.61"
"inetsoft.com","","5/10","4.95"
"infinidat.com","","5/10","5.28"
"infosecinstitute.com","","5/10","5.16"
"infogix.com","","6/10","5.56"
"informatica.com","","6/10","5.92"
"ibi.com","","5/10","5.39"
"careers.ingrammicro.com","","4/10","4.08"
"inkling.com","","6/10","6.08"
"careers.insidehighered.com","","5/10","5.09"
"iri.com","","5/10","4.89"
"inovalon.com","","5/10","5.05"
"inphi.com","","5/10","4.94"
"insight.com","","6/10","5.91"
"insight.com","","6/10","5.91"
"insilico.com","","5/10","5.17"
"about.instabase.com","","5/10","4.52"
"instructure.com","","6/10","6.17"
"intego.com","","6/10","5.81"
"ics.com","","5/10","5.48"
"tax.thomsonreuters.com","","6/10","5.85"
"intel.com","","7/10","6.83"
"intelisys.com","","5/10","5.03"
"jobs.intel.com","","5/10","5.32"
"intelliscanner.com","","5/10","4.93"
"intellitrack.com","","4/10","3.88"
"westuc.com","","5/10","5.33"
"intersystems.com","","6/10","5.57"
"intercom.com","","6/10","6.17"
"intergraph.com","","5/10","5.42"
"theladders.com","","6/10","5.96"
"isc.org","","6/10","6.05"
"intervalzero.com","","5/10","5.38"
"intetics.com","","5/10","5.43"
"intuit.com","","6/10","6.18"
"invitemedia.com","","5/10","5.31"
"burning-glass.com","","6/10","5.72"
"ipswitch.com","","6/10","5.87"
"cisco.com","","7/10","7.15"
"iteris.com","","6/10","5.57"
"itron.com","","5/10","5.33"
"thevalueinitiative.org","","5/10","4.62"
"jwplayer.com","","6/10","6.47"
"jackhenry.com","","6/10","5.58"
"jadu.net","","5/10","5.21"
"akamai.com","","6/10","6.47"
"janusvr.com","","5/10","5.46"
"jivesoftware.com","","6/10","5.82"
"jobs.jobvite.com","","6/10","5.77"
"johngalt.com","","4/10","4.49"
"jotform.com","","7/10","6.77"
"dnaspaces.cisco.com","","5/10","4.57"
"jungo.com","","5/10","4.85"
"juniper.net","","6/10","6.24"
"twitch.tv","","8/10","7.95"
"kadenze.com","","6/10","5.51"
"corp.kaltura.com","","6/10","5.95"
"kamakuraco.com","","5/10","5.4"
"kareo.com","","5/10","5.48"
"keap.com","","5/10","5.37"
"kemptechnologies.com","","5/10","5.19"
"kenandy.com","","5/10","5.19"
"gfi.com","","6/10","5.87"
"keyedin.com","","5/10","5.05"
"kineticww.com","","5/10","5.03"
"kinetica.com","","5/10","5.13"
"kineto.com","","5/10","4.81"
"marvell.com","","6/10","5.89"
"kiswe.com","","5/10","4.84"
"knewton.com","","6/10","5.67"
"knightsecurity.com","","5/10","4.74"
"knoa.com","","5/10","5.03"
"knowland.com","","5/10","4.82"
"kofax.com","","6/10","5.85"
"koombea.com","","5/10","5.26"
"kronos.com","","6/10","5.75"
"kurzweiledu.com","","5/10","5.36"
"kx.com","","6/10","5.8"
"leadtools.com","","6/10","6.01"
"leco.com","","6/10","5.5"
"lssdata.com","","4/10","3.94"
"labware.com","","5/10","5.05"
"langan.com","","5/10","5.46"
"languagecomputer.com","","4/10","4.31"
"offices.depaul.edu","","5/10","5.47"
"lattice-engines.com","","5/10","5.36"
"leadspace.com","","5/10","5.18"
"learning.com","","6/10","5.62"
"learningtree.com","","5/10","5.48"
"letgo.com","","6/10","5.74"
"lever.co","","6/10","5.62"
"lrs.com","","5/10","5.15"
"lightspeedsystems.com","","5/10","5.27"
"limnu.com","","5/10","4.87"
"joinhandshake.com","","6/10","5.7"
"lionbridge.com","","6/10","5.5"
"liquidplanner.com","","6/10","5.94"
"liveperson.com","","6/10","6.33"
"liveramp.com","","6/10","6.01"
"livetext.com","","5/10","4.95"
"us.livescribe.com","","5/10","4.89"
"local-matters.org","","5/10","5.11"
"navexglobal.com","","5/10","5.26"
"locustec.com","","4/10","4.46"
"logdna.com","","6/10","5.53"
"logmeininc.com","","6/10","5.84"
"loggly.com","","6/10","5.75"
"logianalytics.com","","5/10","5.25"
"looker.com","","6/10","6.14"
"lucidworks.com","","6/10","5.6"
"lumenvox.com","","4/10","4.48"
"luminex.com","","5/10","4.82"
"lynx.com","","5/10","5.47"
"mlab.com","","6/10","5.65"
"mrisoftware.com","","6/10","5.68"
"madcapsoftware.com","","5/10","5.13"
"magaya.com","","6/10","5.52"
"magicbytes.com","","4/10","3.98"
"magicleap.com","","6/10","6.1"
"magoosh.com","","6/10","5.62"
"wayup.com","","6/10","5.7"
"jobs.malwarebytes.com","","6/10","5.56"
"mapr.agency","","5/10","4.89"
"precisely.com","","5/10","5.2"
"marathonpetroleum.com","","6/10","5.7"
"marinsoftware.com","","6/10","5.92"
"marinersoftware.com","","6/10","5.67"
"marklogic.com","","6/10","6.07"
"marketo.com","","6/10","6.14"
"martiancraft.com","","6/10","5.76"
"masergy.com","","5/10","5.44"
"mastercam.com","","5/10","4.72"
"mathworks.com","","6/10","6.35"
"matroid.com","","5/10","5.26"
"mavenir.com","","5/10","5.43"
"mavtechglobal.com","","5/10","4.98"
"careers.mcafee.com","","5/10","5.03"
"mclaneat.com","","5/10","4.67"
"medallia.com","","6/10","6.22"
"nthrive.com","","6/10","5.53"
"mediadefender.com","","5/10","5.01"
"mediapolis.com","","5/10","5.39"
"medidata.com","","5/10","5.22"
"ehr.meditech.com","","5/10","5.09"
"meridianks.com","","5/10","4.58"
"gc.trimble.com","","4/10","4.41"
"p2energysolutions.com","","5/10","4.64"
"flexera.com","","6/10","5.5"
"redhat.com","","7/10","6.52"
"mi-case.com","","3/10","3.46"
"mi9retail.com","","5/10","5.13"
"mimedia.com","","5/10","5.26"
"microstrategy.com","","6/10","5.94"
"profounder.com","","5/10","5.35"
"microsoft.com","","9/10","8.52"
"dlr.de","","6/10","6.36"
"mindfireinc.com","","5/10","4.68"
"mindtouch.com","","6/10","5.72"
"mindbodyonline.com","","6/10","6.28"
"mindgrub.com","","5/10","5.25"
"mitchell1.com","","5/10","5.06"
"mitchell.com","","5/10","5.2"
"miva.com","","6/10","5.53"
"mixamo.com","","6/10","5.71"
"mobileiron.com","","6/10","5.64"
"mocana.com","","5/10","5.48"
"modeln.com","","5/10","4.88"
"modmed.com","","5/10","5.3"
"modularmining.com","","4/10","4.13"
"monbabysleep.com","","4/10","3.51"
"monetate.com","","6/10","5.64"
"mongodb.com","","6/10","6.06"
"mvista.com","","5/10","5.42"
"moog.careers","","4/10","3.93"
"moovweb.com","","5/10","5.49"
"gomoxie.com","","5/10","5.03"
"mozilla.org","","8/10","8"
"mulesoft.com","","6/10","5.94"
"multicorewareinc.com","","5/10","5.11"
"pianowizardacademy.com","","5/10","4.92"
"smithweb.com","","5/10","4.56"
"ncino.com","","5/10","5.12"
"nettimesolutions.com","","4/10","4.41"
"ngpvan.com","","6/10","5.79"
"namely.com","","6/10","5.79"
"nanex.net","","6/10","5.66"
"narrativescience.com","","6/10","5.93"
"nastel.com","","5/10","5.41"
"nasuni.com","","5/10","5.34"
"nationbuilder.com","","6/10","5.84"
"nativex.com","","6/10","5.51"
"naviance.com","","6/10","5.69"
"search.proquest.com","","6/10","6.3"
"netdocuments.com","","6/10","5.62"
"netmotionsoftware.com","","5/10","5.3"
"netscout.com","","6/10","5.84"
"netsoltech.com","","5/10","5.08"
"netcracker.com","","5/10","5.37"
"netflix.com","","7/10","7.14"
"ncr.com","","6/10","6.02"
"netskope.com","","6/10","5.57"
"ntst.com","","5/10","5.1"
"helpsystems.com","","5/10","5.42"
"audience.ai","","4/10","3.97"
"netwrix.com","","5/10","5.47"
"neurodimension.com","","4/10","3.83"
"newatlanta.com","","5/10","5.08"
"newrelic.com","","7/10","6.54"
"tylertech.com","","6/10","5.82"
"newblueinc.com","","4/10","4.02"
"newtek.com","","6/10","5.95"
"newsblur.com","","7/10","7.27"
"nice.com","","6/10","5.61"
"nextgen.com","","6/10","5.55"
"proofpoint.com","","6/10","6.26"
"app.nimia.com","","5/10","5.28"
"ninenine.com","","4/10","3.82"
"nomagic.com","","5/10","5.26"
"noblesystems.com","","5/10","4.53"
"dhs.gov","","7/10","6.79"
"nortonlifelock.com","","6/10","5.85"
"novastor.com","","5/10","5.06"
"nist.gov","","7/10","6.64"
"nusphere.com","","6/10","5.51"
"nuance.com","","6/10","6.45"
"nuemd.com","","5/10","5.47"
"bmc.com","","6/10","5.9"
"numecent.com","","5/10","4.9"
"numerix.com","","5/10","5.38"
"nuodb.com","","5/10","5.46"
