name,industry,type,founded,num_employees,revenue,operating_income,net_income,stock price,student_careers_url,pagerank
Actuate Corporation,"Computer Software,Business Intelligence,Enterprise Reporting,Business Analytics",Subsidiary,-1,570,134600000,23400000,16700000,-1.00,https://www.indeed.com/cmp/Actuate-Corporation,-1.0
Acumatica,Computer software,Privately held company,2008,300,-1,-1,-1,-1.00,https://www.acumatica.com/careers/,5.69
Acxiom,Database marketing,Division,-1,2100,-1,-1,-1,-1.00,https://www.acxiom.com/about-us/careers/,-1.0
AdMob,Mobile advertising,Subsidiary of ,2006,-1,-1,-1,-1,-1.00,,-1.0
"Adallom, Inc.",,Private,-1,-1,-1,-1,-1,-1.00,https://careers.microsoft.com/students/us/en,-1.0
Workday Adaptive Planning,"Software,Corporate Performance Management,Analytics",public,-1,0,-1,-1,-1,-1.00,http://www.stanfordwomeninbusiness.com/opportunities-blog/2018/2/11/adaptive-insights-internship-opportunities,-1.0
Addamax,software,,1986,-1,-1,-1,-1,-1.00,https://www.usajobs.gov/Help/working-in-government/unique-hiring-paths/students/,-1.0
"Addepar, Inc.",Financial technology,Private,-1,200,-1,-1,-1,-1.00,https://www.addepar.com/careers,-1.0
Adeptia,Computer software,Private,-1,-1,-1,-1,-1,-1.00,https://adeptia.com/careers,-1.0
Aditi Technologies,"IT Services,IT Consulting",Private,1994,1600,-1,-1,-1,-1.00,https://www.aditiconsulting.com/job-seekers/,-1.0
Adobe Inc.,Software,Public,1982,22635,11170000000,3270000000,2950000000,496.47,https://www.adobe.com/careers.html,7.88
Advanced Digital Information Corporation,"Magnetic tape data storage,Software",Subsidiary of ,-1,1109,-1,-1,-1,-1.00,https://www.vault.com/company-profiles/computer-hardware/advanced-digital-information-corporation,-1.0
"Advent Online Knowledge, Inc.",software,,-1,-1,-1,-1,-1,-1.00,https://www.adventhealth.com/careers,-1.0
Aelita Software Corporation,Software,,1998,-1,-1,-1,-1,-1.00,https://www.mckinsey.com/careers/students,5.68
Aestiva Software,computer technology,,1996,-1,-1,-1,-1,-1.00,http://www.aestiva.com/,-1.0
Afiniti,Software development,Private,2005,1000,-1,-1,-1,-1.00,https://careers.afiniti.com/,5.13
"Agiloft, Inc.",Business process management,Private,1990,-1,-1,-1,-1,-1.00,https://www.agiloft.com/jobs.htm,-1.0
Agilysys Inc.,Hospitality Software,,-1,-1,-1,-1,-1,-1.00,https://www.agilysys.com/en/company/careers,5.0
Aha!,Software,Private,-1,-1,-1,-1,-1,-1.00,https://www.historians.org/jobs-and-professional-development/career-resources/careers-for-students-of-history,-1.0
AiLive Inc.,Computer Software,Private,-1,-1,-1,-1,-1,-1.00,https://www.silive.com/jobs/,-1.0
Air2Web,software,,1999,-1,-1,-1,-1,-1.00,https://www.mckinsey.com/careers/students,-1.0
Airbiquity,Automotive telematics: connected vehicle services,Privately held company,1997,-1,-1,-1,-1,-1.00,https://www.airbiquity.com/company/working-here,-1.0
Airclic,Web-based software,Private,-1,-1,-1,-1,-1,-1.00,https://www.lockheedmartinjobs.com/college-students,-1.0
Urban Airship,,Private Corporation,-1,-1,-1,-1,-1,-1.00,https://www.airship.com/company/careers/,-1.0
"Formagrid, Inc.",Internet,,-1,-1,-1,-1,-1,-1.00,https://airtable.com/careers,-1.0
AlchemyAPI,"natural language processing,computer vision,big data",Subsidiary,-1,-1,-1,-1,-1,-1.00,https://www.mckinsey.com/careers/students,-1.0
Rocket Aldon,Computer software,Subsidiary,-1,-1,-1,-1,-1,-1.00,https://www.aldonmanagement.com/page/16742~984952/Careers,-1.0
Alfresco Software Inc.,,,-1,-1,-1,-1,-1,-1.00,https://www.alfresco.com/company/careers,5.72
Alien Technology,Electronics manufacturing,Private,-1,235,-1,-1,-1,-1.00,https://www.alientechnology.com/company/careers-2/,-1.0
"Alinean, Inc.",Sales & Marketing Software,privately-held,2001,-1,-1,-1,-1,-1.00,https://www.mckinsey.com/careers/students,-1.0
"Allegiance Software, Inc",,Private,-1,-1,-1,-1,-1,-1.00,"https://www.glassdoor.com/Overview/Working-at-Allegiance-Career-Institute-EI_IE3050701.11,38.htm",-1.0
Allegro Development Corp.,Computer software,Private,-1,400,-1,-1,-1,-1.00,https://www.allegrodev.com/campus-recruiting/,-1.0
"AllscriptsHealthcare Solutions, Inc.",Information Technology,Public,-1,7500,1811000000,59800000,25700000,11.13,https://www.allscripts.com/about-us/careers/,5.51
Alphaeon Corporation,Technology,Private,2013,-1,-1,-1,-1,-1.00,https://goalphaeon.com/careers,-1.0
"Altair Engineering, Inc.","Computer-aided engineering,Software,Product Design,Product Design and Development,Service,Services,Data Analytics,Internet of things,Grid Computing",Public,-1,3300,458900000,-1,-1,47.58,https://www.altair.com/careers/,-1.0
Altametrics,Enterprise Software,Private,-1,400,90000000,-1,-1,-1.00,https://www.internships.com/posting/bug_38787457443,-1.0
"Alteryx, Inc.","Software,Computer software",Public,-1,0,418000000,38000000,27100000,110.34,https://www.alteryx.com/careers,-1.0
Altium Ltd.,"Electronic design automation,Printed circuit board,FPGA,Embedded Systems,Electronics Design",Public,-1,-1,171800000,-1,-1,1.19,https://www.altium.com/careers,-1.0
"Altoros Systems, Inc.","Software Product Line,Software Product Development,Big Data,Information technology consulting,IT Consulting",Privately held companies,-1,250,-1,-1,-1,-1.00,https://www.altoros.com/careers,-1.0
AltspaceVR,Virtual reality,Subsidiary,2013,-1,-1,-1,-1,-1.00,https://angel.co/altspacevr-formerly-qualia3d/jobs,5.75
"Amazon.com, Inc.","Cloud computing,e-commerce,artificial intelligence,consumer electronics,digital distribution,self-driving cars",Public,1994,0,280522000000,14541000000,11588000000,3322.00,https://www.amazon.jobs/en/business_categories/student-programs,5.81
"Amazon Lab126, Inc.","Research and development,Computer hardware",Subsidiary,-1,3000,-1,-1,-1,-1.00,https://amazon.jobs/en/teams/lab126/,-1.0
"Amber Road, Inc.",Enterprise software,Corporation,-1,-1,85200000,-1,-1,-1.00,https://www.e2open.com/careers/,5.2
amdocs,,,-1,25000,4099999999,-1,479000000,-1.00,https://www.amdocs.com/careers/home,5.71
Amenity Analytics,Software,Private,-1,-1,-1,-1,-1,-1.00,https://jobs.lever.co/amenityanalytics/42f96a2c-0c3c-491d-abdc-b32a520e7a0c/apply,-1.0
American Megatrends,"Computer hardware,Computer software,Remote Database Access,Remote access,Motherboards,Firmware,Computer storage,Storage systems",Private,1985,1000,-1,-1,-1,-1.00,https://ami.com/en/company/careers-at-ami/,-1.0
Amwell,Healthcare,Public,-1,700,-1,-1,-1,-1.00,https://business.amwell.com/careers/,5.33
Cambridge Analytica Ltd,,Subsidiary,-1,-1,-1,-1,-1,-1.00,https://www.analytica.net/careers/,-1.0
"Anaplan, Inc.","Enterprise Performance Management,Software Company",Public,-1,1601,-1,-1,-1,61.51,https://www.anaplan.com/university-connect/,-1.0
Ancestry.com LLC,"Genealogy,Genetic genealogy,Online publishing,Software publishing",Private,-1,-1,683100000,-1,-1,-1.00,https://careers.ancestry.com/us/en,-1.0
Andrew Corporation,Telecommunications,Communications Hardware Supplier,-1,-1,-1,-1,-1,-1.00,https://www.indeed.com/cmp/Andrew-Corporation,-1.0
Animoto,Photo Slideshow Software,Private,-1,100,-1,-1,-1,-1.00,https://animoto.com/careers,-1.0
Animusic,,Private,-1,-1,-1,-1,-1,-1.00,https://joinhandshake.com/,-1.0
Answer Underground,"Mobile computing,Mobile,Social networking,Social,online tutoring",Private,-1,-1,-1,-1,-1,-1.00,https://www.flexjobs.com/jobs/telecommuting-jobs-at-answer_underground,-1.0
"Ansys, Inc.",Computer software,Public,-1,4100,1516000000,515039999,451300000,328.35,https://www.ansys.com/about-ansys/careers,5.96
Antenna Software,Software Development,,1998,-1,-1,-1,-1,-1.00,"https://www.glassdoor.com/Job/intern-antenna-engineering-jobs-SRCH_KO0,26.htm",-1.0
AnyDoc Software,Software Technology,,1989,-1,-1,-1,-1,-1.00,https://www.hyland.com/en/careers,-1.0
Anystream,Software,Private,-1,-1,-1,-1,-1,-1.00,https://www.mckinsey.com/careers/students,-1.0
Apex Learning,Educational Software,Private,-1,-1,-1,-1,-1,-1.00,http://www.apexlearning.com/about-us,-1.0
"AppDynamics, Inc.",Application performance management,Private company,-1,-1,143800000,-1,-1,-1.00,https://www.appdynamics.com/company/careers,5.84
"AppExtremes, Inc. dba Conga",Software,Private,-1,-1,-1,-1,-1,-1.00,https://www.mckinsey.com/careers/students,-1.0
"AppFolio, Inc.",Software,Public,-1,1100,143900000,-1,-1,110.34,https://www.appfolioinc.com/careers,-1.0
AppNeta,Cloud Based Network Performance Management and Web Application Performance Service,Private,-1,-1,-1,-1,-1,-1.00,https://www.appneta.com/about/careers/,-1.0
AppSense,,,1999,-1,-1,-1,-1,-1.00,https://www.ivanti.com/company/careers,-1.0
AppSheet,"Platform as a service,Digital transformation,Enterprise Software",Subsidiary,2014,35,-1,-1,-1,-1.00,https://solutions.appsheet.com/careers,-1.0
Titanium SDK,,,-1,-1,-1,-1,-1,-1.00,https://www.appcelerator.com/company/jobs/,5.58
"Apperian, Inc.",Mobile application management,Private,-1,50,-1,-1,-1,-1.00,https://careers.northeastern.edu/article/computer-information-science/,-1.0
"Applause, Inc.","Software testing,Software Testing,Crowdsourcing,Software Quality Assurance",Private,-1,301,-1,-1,-1,-1.00,https://www.applause.com/jobs,-1.0
Apple Inc.,"Computer hardware,Computer software,Consumer electronics,Cloud computing,Digital distribution,Fabless manufacturing,Fabless silicon design,Semiconductors,Electronic media,Media,Financial technology,Artificial intelligence",Public,1976,137000,274515000000,66288000000,57411000000,119.03,https://www.apple.com/jobs/us/students.html,8.01
Application Networks,Software Development,,-1,-1,-1,-1,-1,-1.00,https://www.collegecentral.com/,-1.0
Applico,Management Consulting,Privately Owned,2009,75,-1,-1,-1,-1.00,https://angel.co/company/applico-1/jobs/967150-digital-content-marketer,-1.0
"Applied Minds, LLC","Electronics,Software,Consultant,Consulting,Biotechnology,Architectural Design",Private,-1,-1,-1,-1,-1,-1.00,https://appliedminds.com/,-1.0
Applied Predictive Technologies,Software as a service,,-1,600,-1,-1,-1,-1.00,https://www.indeed.com/cmp/Applied-Predictive-Technologies,-1.0
"Applied Science International, LLC.",Computer software,Private,-1,100,-1,-1,-1,-1.00,https://www.internationalstudent.com/study-applied-sciences/,-1.0
"Apptio, Inc.","Software,Computer software,IT service management,IT services",Private,-1,800,160000000,-1,-1,-1.00,https://www.apptio.com/company/careers/,-1.0
Aptean Corporation,Computer software,Private,-1,-1,-1,-1,-1,-1.00,https://www.aptean.com/our-company/careers/,-1.0
Apteligent,Mobile application development,Technology,-1,-1,-1,-1,-1,-1.00,https://www.mckinsey.com/careers/students,-1.0
Apttus,Enterprise software,Privately held company,2006,-1,-1,-1,-1,-1.00,https://apttus.com/company/careers/,5.48
"Aquaveo, LLC","Hydrogeology,software",Private,-1,-1,-1,-1,-1,-1.00,https://www.aquaveo.com/careers,-1.0
Aras Corporation,Enterprise software,Private,-1,550,-1,-1,-1,-1.00,https://www.aras.com/en/company/careers,-1.0
Arc Technology Group,"Web content management system,Content Management,IT service management,IT services,Information technology consulting,IT consulting",Private,-1,5,1600000,-1,-1,-1.00,https://arc.losrios.edu/cte,-1.0
Micro Focus ArcSight,"Computer software,Enterprise software",,2000,-1,-1,-1,-1,-1.00,https://jobs.microfocus.com/global/en,6.15
ArcSoft,Multimedia Software,Private,-1,800,-1,-1,-1,-1.00,http://www.arcsoft.com/corporate/career.html,-1.0
Archer-Daniels-Midland Company,"Food processing,Commodities",Public,-1,38100,64656000000,1372000000,1279000000,47.91,https://www.archcareerpartners.com/,5.69
"Archipelago Learning, Inc.",Educational software,Public,-1,-1,-1,-1,-1,57.34,https://en.wikipedia.org/wiki/Archipelago_Learning,-1.0
Architel Holdings LLC,professional services,,-1,-1,-1,-1,-1,-1.00,https://www.mckinsey.com/careers/students,-1.0
"Ardence, a Citrix Company",Computer software,Private,-1,104,-1,-1,-1,-1.00,https://www.usajobs.gov/Help/working-in-government/unique-hiring-paths/students/,-1.0
Aricent/Altran Americas,"Research and Development,R&D Services",Defunct Company (acquired by Altran),-1,10000,-1,-1,-1,-1.00,https://northamerica.altran.com/careers/overview,-1.0
Arkeia Software,Computer software,Private,-1,50,-1,-1,-1,-1.00,https://www.linkedin.com/company/arkeia-software,-1.0
ArrayFire,High Performance Computing,Private,-1,-1,-1,-1,-1,-1.00,http://arrayfire.applytojob.com/,-1.0
"Arrayent, Inc. (now Prodea)",Computer networking,Privately Held,2005,-1,-1,-1,-1,-1.00,https://www.mckinsey.com/careers/students,-1.0
"Art Technology Group, Inc.",,Subsidiary,-1,442,-1,-1,-1,-1.00,https://www.indeed.com/cmp/Art-Technology-Group,-1.0
"Asana, Inc.","Project management,task management,productivity software,Collaborative software,team collaboration",Public,-1,900,-1,-1,-1,110.34,https://asana.com/jobs/university-recruiting,6.76
"Ascent Solar Technologies,","Photovoltaics,Solar energy",Public,2005,150,7000000,-1,6000000,4.15,https://www.ascentsolar.com/careers.html,4.85
Aspect Inc.,"Call center,technology,Customer experience",Private,1973,2088,443000000,-1,-1,-1.00,https://www.aspect.com/company/careers,-1.0
"Aspen Technology, Inc.","Software,Process Manufacturing",Public,-1,-1,-1,-1,-1,120.85,https://www.aspentech.com/en/careers,-1.0
Astrotech Corporation,"Science,Technology",,-1,71,-1,-1,-1,-1.00,https://www.astrotech.com/careers,-1.0
Asure Software,Software as a service,Public,-1,420,-1,-1,-1,7.03,https://jobs.jobvite.com/asuresoftware,-1.0
"SumTotal Systems, Inc.",Software,Public,-1,-1,-1,-1,-1,57.34,https://www.mckinsey.com/careers/students,-1.0
Atavist,,,-1,-1,-1,-1,-1,-1.00,https://atavist.com/page/careers,-1.0
Atego,,,1996,-1,-1,-1,-1,-1.00,https://www.mercedes-benz-trucks.com/en_GB/brand/careers.html,-1.0
Aternity Inc,Computer software,,2004,-1,-1,-1,-1,-1.00,https://www.aternity.com/,-1.0
"athenahealth, Inc.",Healthcare Technology,Private,-1,6000,5700000000,-1,-1,-1.00,https://www.athenahealth.com/careers/students,-1.0
Atos Syntel,"IT service management,IT services,Information technology consulting,IT consulting",,-1,-1,-1,-1,-1,-1.00,https://www.atos-syntel.net/careers,-1.0
Attachmate,"Computer software,Technology services",Private,-1,-1,400000000,-1,-1,-1.00,https://jobs.microfocus.com/global/en,-1.0
Attensity,Software,Private,-1,-1,-1,-1,-1,-1.00,https://www.att.jobs/students,-1.0
Atypon,Software,Subsidiary,-1,-1,-1,-1,-1,-1.00,https://www.atypon.com/careers/,-1.0
Augury,Technology,,-1,-1,-1,-1,-1,-1.00,https://www.augury.com/careers/,5.5
Auriga Inc.,"Software development,Information technology consulting,IT Service Management,IT Services",Private C-corp,-1,450,-1,-1,-1,-1.00,https://auriga.com/company/join-us/,-1.0
Aurigo Software,Computer software,Private,-1,-1,-1,-1,-1,-1.00,https://www.aurigo.com/company/careers/,-1.0
AutoMotion,,,-1,-1,-1,-1,-1,-1.00,https://www.rockwellautomation.com/en-us/company/careers.html,-1.0
"Autodesk, Inc.",Software,Public,-1,10300,3270000000,343000000,214500000,255.92,https://www.autodesk.com/careers,-1.0
Autodesk Media and Entertainment,Computer software,Subsidiary,-1,-1,-1,-1,-1,-1.00,https://www.autodesk.com/careers,-1.0
Automated Insights,"Technology,Software",Private,-1,-1,-1,-1,-1,-1.00,https://automatedinsights.com/careers/,-1.0
AutomatedQA Corp.,Computer software,Private,-1,-1,-1,-1,-1,-1.00,https://www.mckinsey.com/careers/students,-1.0
Automatic Duck,"Software industry,Software",Private,-1,4,-1,-1,-1,-1.00,https://duckduckgo.com/hiring,-1.0
Automation Anywhere,"Software industry,Computer software,cloud computing,robotic process automation,artificial intelligence",Private company,2003,2400,-1,-1,-1,-1.00,https://www.automationanywhere.com/company/careers,5.68
Automattic Inc.,Internet,Private,-1,1273,-1,-1,-1,-1.00,https://automattic.com/work-with-us/,-1.0
"Autonomous Solutions, Inc.","Vehicle Automation,mining,farming,automotive,agricultural,military,facilities robotics,security",Private,-1,-1,-1,-1,-1,-1.00,https://asirobots.com/jobs/,-1.0
Avanade,"Professional services,Technology services",Subsidiary,-1,39000,2000000000,-1,-1,-1.00,https://www.avanade.com/en-us/careers/your-career/graduates,-1.0
Avaya Inc.,Technology,Public,-1,7900,2890000000,706000000,-1,110.34,https://careers.avaya.com/,-1.0
AvePoint,Computer software,Privately held company,-1,1400,-1,-1,-1,-1.00,https://www.avepoint.com/about/careers,-1.0
"Aventri, Inc.",Cloud-software Event management,Private,1998,-1,-1,-1,-1,-1.00,https://www.aventri.com/careers,5.7
"Avere Systems, Inc",,Private,-1,-1,-1,-1,-1,-1.00,https://www.microsoft.com/en-us/avere/contact-us,5.3
"Avid Technology, Inc.","Computer software,Technology,Multimedia",Public,-1,1446,413280000,13684000,10674000,9.86,https://www.avid.com/careers,6.46
"Aware, Inc.","Biometrics,software",Public,-1,-1,-1,-1,-1,2.66,https://www.aware-inc.org/,-1.0
"Awareness Technologies, Inc.",Software,Private Company,-1,32,-1,-1,-1,-1.00,https://jobs.mayoclinic.org/career-awareness/,-1.0
Axceler,Computer software,Privately held,-1,-1,-1,-1,-1,-1.00,https://www.mckinsey.com/careers/students,-1.0
"Axwave, Inc.",Information Technology and Services,Private,-1,20,-1,-1,-1,-1.00,https://www.mckinsey.com/careers/students,-1.0
Axway Software,Information Technology,''Société Anonyme'',2000,1930,301100000,-1,-1,-1.00,https://www.axway.com/en/company/careers,-1.0
"B-Scada, Inc.",Software,Public,-1,-1,-1,-1,-1,110.34,http://relaxcolchoneria.store/2015-mitsubishi/online-plc-scada-jobs.html,-1.0
B2W Software,Enterprise-class construction software,Private,-1,-1,-1,-1,-1,-1.00,https://www.b2wsoftware.com/company/b2w-careers/,-1.0
"BEA Systems, Inc.",Software Company,Corporation,-1,-1,1535000000,-1,208200000,-1.00,https://jobs.baesystems.com/global/en,-1.0
BIOVIA,"Life sciences,materials science,Consumer packaged goods,automotive,aerospace,energy,academic,manufacturing,technology",Subsidiary,-1,700,155000000,-1,-1,-1.00,https://careers.3ds.com/,-1.0
"BMC Software, Inc.",Computer software,Private,1980,6000,2000000000,-1,-1,-1.00,https://www.bmc.com/careers/careers.html,-1.0
Badgeville,Software as a service,Private Company,-1,70,-1,-1,-1,-1.00,https://www.mckinsey.com/careers/students,-1.0
Balsamiq Wireframes,,,-1,-1,-1,-1,-1,-1.00,https://balsamiq.com/company/jobs/,6.3
Bamboo HR LLC,technology company,,2008,470,-1,-1,-1,-1.00,https://www.bamboohr.com/careers/,6.05
Bandwidth Inc.,,Public,-1,700,-1,-1,-1,165.63,https://www.bandwidth.com/careers/,-1.0
Bare Bones Software,Software industry,corporation,-1,-1,-1,-1,-1,-1.00,https://www.barebones.com/,-1.0
Base CRM,Enterprise software,Private,-1,150,-1,-1,-1,-1.00,https://www.salesforce.com/company/careers/,-1.0
Base One International Corporation,Computer software,Private,1993,-1,-1,-1,-1,-1.00,https://career.berkeley.edu/IntnlStudents/IS-strategies,-1.0
"Basho Technologies, Inc.","Distributed Systems,NoSQL,Cloud storage,software",Private company,-1,-1,-1,-1,-1,-1.00,https://www.mckinsey.com/careers/students,-1.0
Basis Technology Corp.,"Information technology,Information access,Digital forensics,Transliteration",Private,-1,-1,-1,-1,-1,-1.00,https://www.basistech.com/about/careers/,-1.0
BatchMaster Software,"Enterprise resource planning,Enterprise Resource Planning",Software Company,-1,300,-1,-1,-1,-1.00,https://www.batchmaster.com/careers/,-1.0
Baynote,Software,Private,-1,-1,-1,-1,-1,-1.00,https://www.mckinsey.com/careers/students,-1.0
Beeline,Workforce management,Private,1999,450,-1,-1,-1,-1.00,https://www.beeline.com/careers/,-1.0
BenchPrep,Education,,-1,-1,-1,-1,-1,-1.00,https://benchprep.com/,-1.0
"Bentley Systems, Inc.",Computer Software,Public,-1,3800,700000000,-1,-1,57.34,https://www.bentley.com/en/about-us/careers,-1.0
"Best Way Technologies, Inc.",Software,Private,-1,-1,-1,-1,-1,-1.00,https://www.it-ology.org/it-resources/how-to-start-an-it-career/,-1.0
BetterCloud,Internet Technology,Private,-1,-1,-1,-1,-1,-1.00,https://www.bettercloud.com/careers/,-1.0
BettrLife Corporation,"Health Care,Wellness,Wellness",Private,-1,-1,-1,-1,-1,-1.00,https://www.bettrlife.com/,-1.0
Big Tech,Information technology,,-1,-1,-1,-1,-1,-1.00,https://learn.joinhandshake.com/students/tech-companies-hiring-students-now/,-1.0
HCL BigFix,Enterprise IT IT management security configuration management,,-1,250,-1,-1,-1,-1.00,https://www.ibm.com/us-en/employment/entrylevel/,-1.0
BigMachines,,Subsidiary,-1,-1,32100000,-1,-1,-1.00,https://www.oracle.com/corporate/acquisitions/bigmachines/,-1.0
Billions in Change,,Limited Liability Corporation (LLC),-1,-1,-1,-1,-1,-1.00,https://billionsinchange.com/contact/,-1.0
"Bio-Rad Laboratories, Inc.",Medical laboratories,Public,-1,8120,2311000000,229660000,1760000000,630.57,https://www.bio-rad.com/en-us/corporate/summer-internship,5.94
BioPharm Systems,"IT service management,IT services,Information technology consulting,IT consulting",Private,-1,50,-1,-1,-1,-1.00,https://www.pfizer.com/careers/en/early-careers,-1.0
Bitstream Inc.,"Type foundry,mobile phone web browsers",Public,-1,96,-1,-1,-1,110.34,https://corporate.ford.com/careers.html,-1.0
"Blackbaud, Inc.","Software,Software publishing",Public,-1,-1,-1,-1,-1,51.02,https://www.blackbaud.com/company/careers,-1.0
Blackboard,Educational technology,Privately held,-1,3000,700000000,-1,-1,-1.00,https://careers.blackboard.com/,-1.0
Blackline,Software,Public,2001,1055,289000000,-1,-1,113.68,https://www.blackline.com/careers/,5.47
Blaxxun Interactive,,Private company,-1,130,-1,-1,-1,-1.00,https://joinhandshake.com/,-1.0
Blitz,Software,Private,-1,-1,-1,-1,-1,-1.00,https://blitz.com/,-1.0
Blockstream,"Cryptocurrency,software",Corporation,-1,50,-1,-1,-1,-1.00,https://blockstream.com/careers/,-1.0
Bloomfire,software-as-a-service,,2010,-1,-1,-1,-1,-1.00,https://bloomfire.com/,5.32
Blue Marble Geographics,"Geographic information system,Computer software,software",Private,-1,-1,-1,-1,-1,-1.00,https://www.bluemarblegeo.com/about-us/careers.php,-1.0
BlueLink,,,2016,-1,-1,-1,-1,-1.00,https://www.hyundaiusa.com/us/en/careers,4.06
"Bluestack Systems, Inc.","Virtualization,mobile software",Private company,2009,-1,-1,-1,-1,-1.00,https://www.bluestacks.com/work-at-bluestacks.html,-1.0
"BlueTalon, Inc.",Data-centric security,Privately funded,-1,1,-1,-1,-1,-1.00,https://www.dhs.gov/homeland-security-careers/students,-1.0
"BlueWare, Inc.",Healthcare Information Services,Privately held,-1,0,-1,-1,-1,-1.00,https://bluware.com/careers/,-1.0
"Bluebeam, Inc.",Software,Private,-1,500,-1,-1,-1,-1.00,https://www.bluebeam.com/communities/education/,-1.0
"Bluefin Labs, Inc.",,Division,-1,-1,-1,-1,-1,-1.00,http://www.onedayonejob.com/jobs/bluefin-labs/,-1.0
BlueSpace Federal,software,,2006,-1,-1,-1,-1,-1.00,http://www.bluespacetech.com/student_job.php,4.29
Blumberg Capital,Early Stage Venture Capital,Private,-1,-1,-1,-1,-1,-1.00,https://blumbergcapital.com/,-1.0
Body Labs,Artificial intelligence,Subsidiary,-1,-1,-1,-1,-1,-1.00,https://www.indeed.com/q-The-Body-Lab-jobs.html,-1.0
"Boingo Wireless, Inc.","Telecommunications,Wireless,Technology",Public,-1,-1,250800000,-1,-1,9.85,https://www.boingo.com/corporate/careers/,-1.0
Boller and Chivens,Astronomical telescopes cameras and other precision instruments,,-1,-1,-1,-1,-1,-1.00,https://studentemployment.umich.edu/,-1.0
The Bomb Factory,,Music Venue,-1,-1,-1,-1,-1,-1.00,https://www.thebombfactory.com/connect/employment,4.73
