name,type,industry,revenue,hq_location,num_employees,founded,website,student_careers_url,index_name,stock_symbol,stock price
"Adallom, Inc.",Private,,-1,,-1,-1,,https://careers.microsoft.com/students/us/en,Adallom,NA,-1.0
Workday Adaptive Planning,public,"Software,Corporate Performance Management,Analytics",-1,,0,-1,,http://www.stanfordwomeninbusiness.com/opportunities-blog/2018/2/11/adaptive-insights-internship-opportunities,Adaptive Insights,NA,-1.0
Addamax,,software,-1,"Champaign, Illinois",-1,1986,,https://www.usajobs.gov/Help/working-in-government/unique-hiring-paths/students/,Addamax,NA,-1.0
"Addepar, Inc.",Private,Financial technology,-1,,200,-1,,https://www.addepar.com/careers,Addepar,NA,-1.0
Adeptia,Private,Computer software,-1,,-1,-1,,https://adeptia.com/careers,Adeptia,NA,-1.0
Aditi Technologies,Private,"IT Services,IT Consulting",-1,,1600,1994,,https://www.aditiconsulting.com/job-seekers/,Aditi Technologies,NA,-1.0
Adobe Inc.,Public,Software,11170000000,Adobe World Headquarters,22635,1982,adobe.com,https://www.adobe.com/careers.html,Adobe Inc.,ADBE,496.4700012207031
Advanced Digital Information Corporation,Subsidiary of ,"Magnetic tape data storage,Software",-1,,1109,-1,,https://www.vault.com/company-profiles/computer-hardware/advanced-digital-information-corporation,Advanced Digital Information Corporation,NA,-1.0
"Advent Online Knowledge, Inc.",,software,-1,"Schaumburg, Illinois",-1,-1,,https://www.adventhealth.com/careers,"Advent Online Knowledge, Inc.",NA,-1.0
Aelita Software Corporation,,Software,-1,Aliso Viejo California,-1,1998,https://www.quest.com/,https://www.mckinsey.com/careers/students,Aelita Software Corporation,NA,-1.0
Aestiva Software,,computer technology,-1,"Torrance, California",-1,1996,,http://www.aestiva.com/,Aestiva Software,NA,-1.0
Afiniti,Private,Software development,-1,Hamilton,1000,2005,afiniti.com,https://careers.afiniti.com/,Afiniti,NA,-1.0
"Agiloft, Inc.",Private,Business process management,-1,,-1,1990,,https://www.agiloft.com/jobs.htm,Agiloft,NA,-1.0
Agilysys Inc.,,Hospitality Software,-1,,-1,-1,www.agilysys.com,https://www.agilysys.com/en/company/careers,Agilysys,NA,-1.0
Aha!,Private,Software,-1,,-1,-1,,https://www.historians.org/jobs-and-professional-development/career-resources/careers-for-students-of-history,Aha! (company),NA,-1.0
AiLive Inc.,Private,Computer Software,-1,,-1,-1,,https://www.silive.com/jobs/,AiLive,NA,-1.0
Air2Web,,software,-1,,-1,1999,,https://www.mckinsey.com/careers/students,Air2Web,NA,-1.0
Airbiquity,Privately held company,Automotive telematics: connected vehicle services,-1,"Seattle, WA",-1,1997,,https://www.airbiquity.com/company/working-here,Airbiquity,NA,-1.0
Airclic,Private,Web-based software,-1,,-1,-1,,https://www.lockheedmartinjobs.com/college-students,Airclic,NA,-1.0
Urban Airship,Private Corporation,,-1,,-1,-1,,https://www.airship.com/company/careers/,Airship (company),NA,-1.0
"Formagrid, Inc.",,Internet,-1,,-1,-1,,https://airtable.com/careers,Airtable,NA,-1.0
AlchemyAPI,Subsidiary,"natural language processing,computer vision,big data",-1,,-1,-1,,https://www.mckinsey.com/careers/students,AlchemyAPI,NA,-1.0
Rocket Aldon,Subsidiary,Computer software,-1,,-1,-1,,https://www.aldonmanagement.com/page/16742~984952/Careers,Aldon Inc.,NA,-1.0
Alfresco Software Inc.,,,-1,,-1,-1,www.alfresco.com,https://www.alfresco.com/company/careers,Alfresco Software,NA,-1.0
Alien Technology,Private,Electronics manufacturing,-1,,235,-1,,https://www.alientechnology.com/company/careers-2/,Alien Technology,NA,-1.0
"Alinean, Inc.",privately-held,Sales & Marketing Software,-1,,-1,2001,,https://www.mckinsey.com/careers/students,Alinean,NA,-1.0
"Allegiance Software, Inc",Private,,-1,,-1,-1,,"https://www.glassdoor.com/Overview/Working-at-Allegiance-Career-Institute-EI_IE3050701.11,38.htm",Allegiance (company),NA,-1.0
Allegro Development Corp.,Private,Computer software,-1,,400,-1,,https://www.allegrodev.com/campus-recruiting/,Allegro Development Corporation,NA,-1.0
"AllscriptsHealthcare Solutions, Inc.",Public,Information Technology,1811000000,,7500,-1,allscripts.com,https://www.allscripts.com/about-us/careers/,Allscripts,MDRX,11.130000114440918
Alphaeon Corporation,Private,Technology,-1,,-1,2013,,https://goalphaeon.com/careers,Alphaeon Corporation,NA,-1.0
"Altair Engineering, Inc.",Public,"Computer-aided engineering,Software,Product Design,Product Design and Development,Service,Services,Data Analytics,Internet of things,Grid Computing",458900000,,3300,-1,,https://www.altair.com/careers/,Altair Engineering,ALTR,47.58000183105469
Altametrics,Private,Enterprise Software,90000000,,400,-1,,https://www.internships.com/posting/bug_38787457443,Altametrics,NA,-1.0
"Alteryx, Inc.",Public,"Software,Computer software",418000000,,0,-1,,https://www.alteryx.com/careers,Alteryx,A,110.33999633789062
Altium Ltd.,Public,"Electronic design automation,Printed circuit board,FPGA,Embedded Systems,Electronics Design",171800000,,-1,-1,,https://www.altium.com/careers,Altium,AAU,1.190000057220459
"Altoros Systems, Inc.",Privately held companies,"Software Product Line,Software Product Development,Big Data,Information technology consulting,IT Consulting",-1,,250,-1,,https://www.altoros.com/careers,Altoros,NA,-1.0
AltspaceVR,Subsidiary,Virtual reality,-1,"Redwood City, California",-1,2013,altvr.com,https://angel.co/altspacevr-formerly-qualia3d/jobs,AltspaceVR,NA,-1.0
"Amazon.com, Inc.",Public,"Cloud computing,e-commerce,artificial intelligence,consumer electronics,digital distribution,self-driving cars",280522000000,,0,1994,https://www.aboutamazon.com/,https://www.amazon.jobs/en/business_categories/student-programs,Amazon (company),AMZN,3322.0
"Amazon Lab126, Inc.",Subsidiary,"Research and development,Computer hardware",-1,,3000,-1,,https://amazon.jobs/en/teams/lab126/,Amazon Lab126,NA,-1.0
"Amber Road, Inc.",Corporation,Enterprise software,85200000,,-1,-1,[http://www.amberroad.com/ amberroad.com],https://www.e2open.com/careers/,"Amber Road, Inc.",NA,-1.0
amdocs,,,4099999999,,25000,-1,https://www.amdocs.com/,https://www.amdocs.com/careers/home,Amdocs,NA,-1.0
Amenity Analytics,Private,Software,-1,,-1,-1,,https://jobs.lever.co/amenityanalytics/42f96a2c-0c3c-491d-abdc-b32a520e7a0c/apply,Amenity Analytics,NA,-1.0
American Megatrends,Private,"Computer hardware,Computer software,Remote Database Access,Remote access,Motherboards,Firmware,Computer storage,Storage systems",-1,,1000,1985,,https://ami.com/en/company/careers-at-ami/,American Megatrends,NA,-1.0
Amwell,Public,Healthcare,-1,,700,-1,https://www.amwell.com,https://business.amwell.com/careers/,American Well,NA,-1.0
Cambridge Analytica Ltd,Subsidiary,,-1,,-1,-1,,https://www.analytica.net/careers/,Analytica (company),NA,-1.0
"Anaplan, Inc.",Public,"Enterprise Performance Management,Software Company",-1,,1601,-1,,https://www.anaplan.com/university-connect/,Anaplan,PLAN,61.5099983215332
Ancestry.com LLC,Private,"Genealogy,Genetic genealogy,Online publishing,Software publishing",683100000,,-1,-1,,https://careers.ancestry.com/us/en,Ancestry.com,NA,-1.0
Andrew Corporation,Communications Hardware Supplier,Telecommunications,-1,,-1,-1,,https://www.indeed.com/cmp/Andrew-Corporation,Andrew Corporation,NA,-1.0
Animoto,Private,Photo Slideshow Software,-1,,100,-1,,https://animoto.com/careers,Animoto,NA,-1.0
Animusic,Private,,-1,,-1,-1,,https://joinhandshake.com/,Animusic,NA,-1.0
Answer Underground,Private,"Mobile computing,Mobile,Social networking,Social,online tutoring",-1,,-1,-1,,https://www.flexjobs.com/jobs/telecommuting-jobs-at-answer_underground,Answer Underground,NA,-1.0
"Ansys, Inc.",Public,Computer software,1516000000,,4100,-1,ansys.com,https://www.ansys.com/about-ansys/careers,Ansys,ANSS,328.3500061035156
Antenna Software,,Software Development,-1,,-1,1998,,"https://www.glassdoor.com/Job/intern-antenna-engineering-jobs-SRCH_KO0,26.htm",Antenna Software,NA,-1.0
AnyDoc Software,,Software Technology,-1,"Tampa, Florida",-1,1989,,https://www.hyland.com/en/careers,AnyDoc Software,NA,-1.0
Anystream,Private,Software,-1,,-1,-1,,https://www.mckinsey.com/careers/students,Anystream,NA,-1.0
Apex Learning,Private,Educational Software,-1,,-1,-1,,http://www.apexlearning.com/about-us,Apex Learning,NA,-1.0
"AppDynamics, Inc.",Private company,Application performance management,143800000,,-1,-1,[http://www.appdynamics.com/ www.appdynamics.com],https://www.appdynamics.com/company/careers,AppDynamics,NA,-1.0
"AppExtremes, Inc. dba Conga",Private,Software,-1,,-1,-1,,https://www.mckinsey.com/careers/students,AppExtremes,NA,-1.0
"AppFolio, Inc.",Public,Software,143900000,,1100,-1,,https://www.appfolioinc.com/careers,AppFolio,A,110.33999633789062
AppNeta,Private,Cloud Based Network Performance Management and Web Application Performance Service,-1,,-1,-1,,https://www.appneta.com/about/careers/,AppNeta,NA,-1.0
AppSense,,,-1,Sunnyvale California Daresbury England,-1,1999,,https://www.ivanti.com/company/careers,AppSense,NA,-1.0
AppSheet,Subsidiary,"Platform as a service,Digital transformation,Enterprise Software",-1,,35,2014,,https://solutions.appsheet.com/careers,AppSheet,NA,-1.0
Titanium SDK,,,-1,,-1,-1,[https://developer.axway.com/ developer.axway.com],https://www.appcelerator.com/company/jobs/,Appcelerator,NA,-1.0
"Apperian, Inc.",Private,Mobile application management,-1,,50,-1,,https://careers.northeastern.edu/article/computer-information-science/,Apperian,NA,-1.0
"Applause, Inc.",Private,"Software testing,Software Testing,Crowdsourcing,Software Quality Assurance",-1,,301,-1,,https://www.applause.com/jobs,Applause (software company),NA,-1.0
Apple Inc.,Public,"Computer hardware,Computer software,Consumer electronics,Cloud computing,Digital distribution,Fabless manufacturing,Fabless silicon design,Semiconductors,Electronic media,Media,Financial technology,Artificial intelligence",274515000000,Apple Park 1 Apple Park Way Cupertino California,137000,1976,https://www.apple.com,https://www.apple.com/jobs/us/students.html,Apple Inc.,AAPL,119.02999877929688
Application Networks,,Software Development,-1,,-1,-1,,https://www.collegecentral.com/,Application Networks,NA,-1.0
Applico,Privately Owned,Management Consulting,-1,,75,2009,,https://angel.co/company/applico-1/jobs/967150-digital-content-marketer,Applico,NA,-1.0
"Applied Minds, LLC",Private,"Electronics,Software,Consultant,Consulting,Biotechnology,Architectural Design",-1,,-1,-1,,https://appliedminds.com/,Applied Minds,NA,-1.0
Applied Predictive Technologies,,Software as a service,-1,,600,-1,,https://www.indeed.com/cmp/Applied-Predictive-Technologies,Applied Predictive Technologies,NA,-1.0
"Applied Science International, LLC.",Private,Computer software,-1,,100,-1,,https://www.internationalstudent.com/study-applied-sciences/,Applied Science International,NA,-1.0
"Apptio, Inc.",Private,"Software,Computer software,IT service management,IT services",160000000,,800,-1,,https://www.apptio.com/company/careers/,Apptio,NA,-1.0
Aptean Corporation,Private,Computer software,-1,,-1,-1,,https://www.aptean.com/our-company/careers/,Aptean,NA,-1.0
Apteligent,Technology,Mobile application development,-1,,-1,-1,,https://www.mckinsey.com/careers/students,Apteligent,NA,-1.0
Apttus,Privately held company,Enterprise software,-1,"San Mateo, California United States",-1,2006,https://apttus.com/,https://apttus.com/company/careers/,Apttus,NA,-1.0
"Aquaveo, LLC",Private,"Hydrogeology,software",-1,,-1,-1,,https://www.aquaveo.com/careers,Aquaveo,NA,-1.0
Aras Corporation,Private,Enterprise software,-1,,550,-1,,https://www.aras.com/en/company/careers,Aras Corp,NA,-1.0
Arc Technology Group,Private,"Web content management system,Content Management,IT service management,IT services,Information technology consulting,IT consulting",1600000,,5,-1,,https://arc.losrios.edu/cte,Arc Technology Group,NA,-1.0
Micro Focus ArcSight,,"Computer software,Enterprise software",-1,,-1,2000,www.microfocus.com/arcsight,https://jobs.microfocus.com/global/en,ArcSight,NA,-1.0
ArcSoft,Private,Multimedia Software,-1,,800,-1,,http://www.arcsoft.com/corporate/career.html,ArcSoft,NA,-1.0
Archer-Daniels-Midland Company,Public,"Food processing,Commodities",64656000000,,38100,-1,adm.com,https://www.archcareerpartners.com/,Archer (company),ADM,47.90999984741211
"Archipelago Learning, Inc.",Public,Educational software,-1,,-1,-1,,https://en.wikipedia.org/wiki/Archipelago_Learning,Archipelago Learning,AAN,57.34000015258789
Architel Holdings LLC,,professional services,-1,"Dallas, Texas",-1,-1,,https://www.mckinsey.com/careers/students,Architel,NA,-1.0
"Ardence, a Citrix Company",Private,Computer software,-1,,104,-1,,https://www.usajobs.gov/Help/working-in-government/unique-hiring-paths/students/,Ardence,NA,-1.0
Aricent/Altran Americas,Defunct Company (acquired by Altran),"Research and Development,R&D Services",-1,,10000,-1,,https://northamerica.altran.com/careers/overview,Aricent,NA,-1.0
Arkeia Software,Private,Computer software,-1,,50,-1,,https://www.linkedin.com/company/arkeia-software,Arkeia Software,NA,-1.0
ArrayFire,Private,High Performance Computing,-1,,-1,-1,,http://arrayfire.applytojob.com/,ArrayFire,NA,-1.0
"Arrayent, Inc. (now Prodea)",Privately Held,Computer networking,-1,,-1,2005,,https://www.mckinsey.com/careers/students,Arrayent,NA,-1.0
"Art Technology Group, Inc.",Subsidiary,,-1,,442,-1,,https://www.indeed.com/cmp/Art-Technology-Group,Art Technology Group,NA,-1.0
"Asana, Inc.",Public,"Project management,task management,productivity software,Collaborative software,team collaboration",-1,,900,-1,https://asana.com,https://asana.com/jobs/university-recruiting,Asana (software),A,110.33999633789062
"Ascent Solar Technologies,",Public,"Photovoltaics,Solar energy",7000000,,150,2005,http://www.ascentsolar.com,https://www.ascentsolar.com/careers.html,Ascent Solar,AVCT,4.150000095367432
Aspect Inc.,Private,"Call center,technology,Customer experience",443000000,,2088,1973,,https://www.aspect.com/company/careers,Aspect Software,NA,-1.0
"Aspen Technology, Inc.",Public company,"Software,Process Manufacturing",-1,,-1,-1,,https://www.aspentech.com/en/careers,Aspen Technology,AZPN,120.8499984741211
Astrotech Corporation,,"Science,Technology",-1,,71,-1,,https://www.astrotech.com/careers,Astrotech Corporation,NA,-1.0
Asure Software,Public,Software as a service,-1,,420,-1,,https://jobs.jobvite.com/asuresoftware,Asure Software,ASUR,7.03000020980835
"SumTotal Systems, Inc.",Public,Software,-1,,-1,-1,,https://www.mckinsey.com/careers/students,Asymetrix,AAN,57.34000015258789
Atavist,,,-1,,-1,-1,,https://atavist.com/page/careers,Atavist,NA,-1.0
Atego,,,-1,"San Diego, United States San Diego United States",-1,1996,,https://www.mercedes-benz-trucks.com/en_GB/brand/careers.html,Atego (company),NA,-1.0
Aternity Inc,,Computer software,-1,,-1,2004,,https://www.aternity.com/,Aternity Inc.,NA,-1.0
"athenahealth, Inc.",Private,Healthcare Technology,5700000000,,6000,-1,,https://www.athenahealth.com/careers/students,Athenahealth,NA,-1.0
Atos Syntel,,"IT service management,IT services,Information technology consulting,IT consulting",-1,,-1,-1,,https://www.atos-syntel.net/careers,Atos Syntel,NA,-1.0
Attachmate,Private,"Computer software,Technology services",400000000,,-1,-1,,https://jobs.microfocus.com/global/en,Attachmate,NA,-1.0
Attensity,Private,Software,-1,,-1,-1,,https://www.att.jobs/students,Attensity,NA,-1.0
Atypon,Subsidiary,Software,-1,,-1,-1,,https://www.atypon.com/careers/,Atypon,NA,-1.0
Augury,,Technology,-1,,-1,-1,https://www.augury.com/,https://www.augury.com/careers/,Augury (company),NA,-1.0
Auriga Inc.,Private C-corp,"Software development,Information technology consulting,IT Service Management,IT Services",-1,,450,-1,,https://auriga.com/company/join-us/,Auriga (company),NA,-1.0
Aurigo Software,Private,Computer software,-1,,-1,-1,,https://www.aurigo.com/company/careers/,Aurigo Software,NA,-1.0
AutoMotion,,,-1,,-1,-1,,https://www.rockwellautomation.com/en-us/company/careers.html,AutoMotion,NA,-1.0
"Autodesk, Inc.",Public,Software,3270000000,,10300,-1,,https://www.autodesk.com/careers,Autodesk,ADSK,255.9199981689453
Autodesk Media and Entertainment,Subsidiary,Computer software,-1,,-1,-1,,https://www.autodesk.com/careers,Autodesk Media and Entertainment,NA,-1.0
Automated Insights,Private,"Technology,Software",-1,,-1,-1,,https://automatedinsights.com/careers/,Automated Insights,NA,-1.0
AutomatedQA Corp.,Private,Computer software,-1,,-1,-1,,https://www.mckinsey.com/careers/students,AutomatedQA,NA,-1.0
Automatic Duck,Private,"Software industry,Software",-1,,4,-1,,https://duckduckgo.com/hiring,Automatic Duck,NA,-1.0
Automation Anywhere,Private company,"Software industry,Computer software,cloud computing,robotic process automation,artificial intelligence",-1,"San Jose, California",2400,2003,https://www.automationanywhere.com/,https://www.automationanywhere.com/company/careers,Automation Anywhere,NA,-1.0
Automattic Inc.,Private,Internet,-1,,1273,-1,,https://automattic.com/work-with-us/,Automattic,NA,-1.0
"Autonomous Solutions, Inc.",Private,"Vehicle Automation,mining,farming,automotive,agricultural,military,facilities robotics,security",-1,,-1,-1,,https://asirobots.com/jobs/,Autonomous Solutions,NA,-1.0
Avanade,Subsidiary,"Professional services,Technology services",2000000000,,39000,-1,,https://www.avanade.com/en-us/careers/your-career/graduates,Avanade,NA,-1.0
Avaya Inc.,Public,Technology,2890000000,,7900,-1,,https://careers.avaya.com/,Avaya,A,110.33999633789062
AvePoint,Privately held company,Computer software,-1,,1400,-1,,https://www.avepoint.com/about/careers,AvePoint,NA,-1.0
"Aventri, Inc.",Private,Cloud-software Event management,-1,,-1,1998, www.aventri.com,https://www.aventri.com/careers,Aventri,NA,-1.0
"Avere Systems, Inc",Private,,-1,,-1,-1,www.averesystems.com,https://www.microsoft.com/en-us/avere/contact-us,Avere Systems,NA,-1.0
"Avid Technology, Inc.",Public,"Computer software,Technology,Multimedia",413280000,,1446,-1,https://www.avid.com,https://www.avid.com/careers,Avid Technology,AVID,9.859999656677246
"Aware, Inc.",Public,"Biometrics,software",-1,,-1,-1,,https://www.aware-inc.org/,"Aware, Inc.",AWRE,2.6600000858306885
"Awareness Technologies, Inc.",Private Company,Software,-1,,32,-1,,https://jobs.mayoclinic.org/career-awareness/,Awareness Technologies,NA,-1.0
Axceler,Privately held,Computer software,-1,,-1,-1,,https://www.mckinsey.com/careers/students,Axceler,NA,-1.0
"Axwave, Inc.",Private,Information Technology and Services,-1,,20,-1,,https://www.mckinsey.com/careers/students,Axwave,NA,-1.0
Axway Software,''Société Anonyme'',Information Technology,301100000,,1930,2000,,https://www.axway.com/en/company/careers,Axway Software,NA,-1.0
"B-Scada, Inc.",Public,Software,-1,,-1,-1,,http://relaxcolchoneria.store/2015-mitsubishi/online-plc-scada-jobs.html,B-Scada,A,110.33999633789062
B2W Software,Private,Enterprise-class construction software,-1,,-1,-1,,https://www.b2wsoftware.com/company/b2w-careers/,B2W Software,NA,-1.0
"BEA Systems, Inc.",Corporation,Software Company,1535000000,,-1,-1,,https://jobs.baesystems.com/global/en,BEA Systems,NA,-1.0
BIOVIA,Subsidiary,"Life sciences,materials science,Consumer packaged goods,automotive,aerospace,energy,academic,manufacturing,technology",155000000,,700,-1,,https://careers.3ds.com/,BIOVIA,NA,-1.0
"BMC Software, Inc.",Private,Computer software,2000000000,,6000,1980,,https://www.bmc.com/careers/careers.html,BMC Software,NA,-1.0
Badgeville,Private Company,Software as a service,-1,,70,-1,,https://www.mckinsey.com/careers/students,Badgeville,NA,-1.0
Balsamiq Wireframes,,,-1,,-1,-1,https://www.balsamiq.com,https://balsamiq.com/company/jobs/,Balsamiq,NA,-1.0
Bamboo HR LLC,,technology company,-1,"Lindon, Utah",470,2008,www.bamboohr.com/,https://www.bamboohr.com/careers/,BambooHR,NA,-1.0
Bandwidth Inc.,Public,,-1,,700,-1,,https://www.bandwidth.com/careers/,Bandwidth (company),BAND,165.6300048828125
Bare Bones Software,corporation,Software industry,-1,,-1,-1,,https://www.barebones.com/,Bare Bones Software,NA,-1.0
Base CRM,Private,Enterprise software,-1,,150,-1,,https://www.salesforce.com/company/careers/,Base CRM,NA,-1.0
Base One International Corporation,Private,Computer software,-1,,-1,1993,,https://career.berkeley.edu/IntnlStudents/IS-strategies,Base One International,NA,-1.0
"Basho Technologies, Inc.",Private company,"Distributed Systems,NoSQL,Cloud storage,software",-1,,-1,-1,,https://www.mckinsey.com/careers/students,Basho Technologies,NA,-1.0
Basis Technology Corp.,Private,"Information technology,Information access,Digital forensics,Transliteration",-1,,-1,-1,,https://www.basistech.com/about/careers/,Basis Technology,NA,-1.0
BatchMaster Software,Software Company,"Enterprise resource planning,Enterprise Resource Planning",-1,,300,-1,,https://www.batchmaster.com/careers/,BatchMaster Software,NA,-1.0
Baynote,Private,Software,-1,,-1,-1,,https://www.mckinsey.com/careers/students,Baynote,NA,-1.0
Beeline,Private,Workforce management,-1,Jacksonville,450,1999,,https://www.beeline.com/careers/,Beeline (software company),NA,-1.0
BenchPrep,,Education,-1,,-1,-1,,https://benchprep.com/,BenchPrep,NA,-1.0
"Bentley Systems, Inc.",Public,Computer Software,700000000,,3800,-1,,https://www.bentley.com/en/about-us/careers,Bentley Systems,AAN,57.34000015258789
"Best Way Technologies, Inc.",Private,Software,-1,,-1,-1,,https://www.it-ology.org/it-resources/how-to-start-an-it-career/,Best Way Technologies,NA,-1.0
BetterCloud,Private,Internet Technology,-1,,-1,-1,,https://www.bettercloud.com/careers/,BetterCloud,NA,-1.0
BettrLife Corporation,Private,"Health Care,Wellness,Wellness",-1,,-1,-1,,https://www.bettrlife.com/,BettrLife,NA,-1.0
Big Tech,,Information technology,-1,,-1,-1,,https://learn.joinhandshake.com/students/tech-companies-hiring-students-now/,Big Tech,NA,-1.0
HCL BigFix,,Enterprise IT IT management security configuration management,-1,,250,-1,,https://www.ibm.com/us-en/employment/entrylevel/,BigFix Inc,NA,-1.0
BigMachines,Subsidiary,,32100000,,-1,-1,,https://www.oracle.com/corporate/acquisitions/bigmachines/,BigMachines,NA,-1.0
Billions in Change,Limited Liability Corporation (LLC),,-1,,-1,-1,Billionsinchange.com,https://billionsinchange.com/contact/,Billions in Change,NA,-1.0
"Bio-Rad Laboratories, Inc.",Public,Medical laboratories,2311000000,,8120,-1,bio-rad.com,https://www.bio-rad.com/en-us/corporate/summer-internship,Bio-Rad Laboratories,BIO,630.5700073242188
BioPharm Systems,Private,"IT service management,IT services,Information technology consulting,IT consulting",-1,"San Mateo, California",50,-1,,https://www.pfizer.com/careers/en/early-careers,BioPharm (US company),NA,-1.0
Bitstream Inc.,Public,"Type foundry,mobile phone web browsers",-1,,96,-1,,https://corporate.ford.com/careers.html,Bitstream Inc.,A,110.33999633789062
"Blackbaud, Inc.",Public,"Software,Software publishing",-1,,-1,-1,,https://www.blackbaud.com/company/careers,Blackbaud,BLKB,51.02000045776367
Blackboard,Privately held,Educational technology,700000000,,3000,-1,,https://careers.blackboard.com/,Blackboard Inc.,NA,-1.0
Blackline,Public,Software,289000000,,1055,2001,https://www.blackline.com/,https://www.blackline.com/careers/,Blackline (software company),BL,113.68000030517578
Blaxxun Interactive,Private company,,-1,,130,-1,,https://joinhandshake.com/,Blaxxun,NA,-1.0
Blitz,Private,Software,-1,,-1,-1,,https://blitz.com/,Blitz (software),NA,-1.0
