name,industry,type,founded,num_employees,Revenue(in millions),Profit(in millions),students_careers_url,hq_location,website,score
"Zscaler, Inc.","Software,Consulting,Networking,Security",Public,2008,1480,431,-,https://www.zscaler.com/careers,"San Jose, CA",zscaler.com,23.93545913
SeeClickFix,"Software,Consulting",Private,2008,20,75,-,https://seeclickfix.com/pages/jobs.html,"New Haven, CT",seeclickfix.com,23.92066906
Veeam Software Group GmbH,Software,Private,2006,4300,1,-,https://careers.veeam.com/?ad=menu-company,,veeam.com,23.91659202
Harman Connected Services,Networking,Private,2001,30000,290,-,https://jobs.harman.com/,"Stamford, CT",harman.com,23.89717579
"Workday, Inc.","Software,Distributed Systems",Public,2005,3700,3630,146,https://www.workday.com/en-us/company/careers/university-recruiting.html,"Pleasanton, CA",workday.com,23.89562677
"NewTek, Inc.",Software,Private,1985,310,52,-,https://www.newtek.com/,"San Antonio, TX",newtek.com,23.80298345
OneLogin,Distributed Systems,Private,2009,260,50.2,-,https://www.onelogin.com/company/careers,"San Francisco, CA",onelogin.com,23.80254606
MicroStrategy Incorporated,Software,Public,1989,2400,486,-,https://www.microstrategy.com/en/careers,"1850 Towers Crescent Plaza Tysons Corner, VA",microstrategy.com,23.78365256
Insight Enterprises,Other,Public,1988,11000,6700,-,https://www.insight.com/en_US/careers.html,"Tempe, AZ",insight.com,23.7781581
"MuleSoft, LLC.",Software,Private,2006,1190,296,79.8,https://www.mulesoft.com/careers,"San Francisco, CA",mulesoft.com,23.77209375
LiquidPlanner,Other,Private,2006,65,8,-,https://www.liquidplanner.com/blog/category/careers/,"Seattle, WA",liquidplanner.com,23.76060625
Informatica,Software,Private,1993,4800,1050,-,https://informatica.gr8people.com/,"Redwood City, CA",informatica.com,23.72782396
SunGard Data Systems,"Software,Consulting",Private,1983,13000,4990,-,https://jobs.sungardas.com/,"Wayne, PA",sungard.com,23.70379982
EPAM Systems,Software,Public,1993,36700,2290,-,https://www.epam.com/careers,"Newtown, PA",epam.com,23.68748466
RhythmOne plc,Networking,Public,2004,525,145,-,https://www.rhythmone.com/careers/,"San Francisco, CA",rhythmone.com,23.68543134
"RiskIQ, Inc.",Other,Private,2009,212,30.7,-,https://www.riskiq.com/company/careers/,"San Francisco, CA",riskiq.com,23.68200796
Caspio,Software,Private,2000,150,10,-,https://www.caspio.com/careers/,"Santa Clara, CA",caspio.com,23.68134275
"BMC Software, Inc.",Software,Private,1980,6000,2,-,https://www.bmc.com/careers/careers.html,"Houston, TX",bmc.com,23.65106265
Infor,Software,Private,2002,17000,2800,-,https://www.infor.com/about/careers,"New York, NY",infor.com,23.6432651
"Ceridian HCM, Inc.",Software,Public,1992,5200,824,72.3,https://www.ceridian.com/careers,"Minneapolis, MN",ceridian.com,23.60972392
"Greenhouse Software, Inc.",Other,Private,2012,500,50,-,https://www.greenhouse.io/careers,New York City,greenhouse.io,23.60458671
"Sawtooth Software, Inc.",Software,Private,1983,37,137,-,https://sawtoothsoftware.com/careers,"Provo, UT",sawtoothsoftware.com,23.60122611
Corona Labs,Other,Private,2007,50,3,-,https://coronalabs.com/jobs/,"San Francisco, CA",coronalabs.com,23.60044537
"Qualys, Inc.","Consulting,Networking,Security",Public,1999,1265,322,-,https://www.qualys.com/careers/,"Foster City, CA",qualys.com,23.57290481
"iCIMS, Inc.",Software,Private,2000,1000,300,-,https://careers.icims.com/,"Holmdel, NJ",icims.com,23.57050379
"Carbon Black, Inc.","Consulting,Security",Private,2002,1000,60.9,-,https://lifeatcb.carbonblack.com/,"Waltham, MA",carbonblack.com,23.56891332
"Perforce Software, Inc.","Software,Consulting",Private,1995,250,23,-,https://www.perforce.com/careers,"Minneapolis, MN",perforce.com,23.52228005
IZotope,"Software,Electronics",Private,2001,170,7.5,-,https://www.izotope.com/en/company/education/partners.html,"Cambridge, MA",izotope.com,23.52149629
"Veracode, Inc.",Software,Private,2006,750,58.5,-,https://www.veracode.com/about/careers,"Burlington, MA",veracode.com,23.4867703
Coda,Other,Private,2014,600,25,-,https://boards.greenhouse.io/coda,"San Francisco, CA",coda.io,23.48527123
"Recorded Future, Inc.","Consulting,Security",Private,2009,450,100,-,https://www.recordedfuture.com/careers/,"Somerville, MA",recordedfuture.com,23.48449389
"Cadence Design Systems, Inc.",Software,Public,1988,8100,2340,-,https://www.cadence.com/en_US/home/company/careers.html,"San Jose, CA",cadence.com,23.48448203
"Tripwire, Inc.",Other,Private,1997,400,86.2,-,https://www.tripwire.com/company/careers,"Portland, OR",tripwire.com,23.48397668
"Ipswitch, Inc.","Consulting,Networking,Security",Private,1991,300,75,-,https://www.ipswitch.com/,"Burlington, MA",ipswitch.com,23.48305136
NortonLifeLock Inc.,"Software,Consulting,Security",Public,1982,3670,2490,621,https://www.nortonlifelock.com/us/en/careers/,"Tempe, AZ",nortonlifelock.com,23.44778838
"SmartBear Software, Inc.",Software,Private,2009,650,51.1,-,https://smartbear.com/company/careers/,,smartbear.com,23.44587026
Sauce Labs,Software,Private,2008,330,30,-,https://saucelabs.com/company/careers,"San Francisco, CA",saucelabs.com,23.44300727
"Universal Audio, Inc.",Other,Private,1999,200,24.7,-,https://www.uaudio.com/careers/,"Scotts Valley, CA",uaudio.com,23.44186595
"Daz Productions, Inc",Other,Private,2000,40,2270,-,https://www.linkedin.com/company/daz-productions,"Salt Lake City, UT",daz3d.com,23.41544011
"Databricks, Inc.",Software,Private,2013,1440,200,-,https://databricks.com/company/careers,"San Francisco, CA",databricks.com,23.41358222
Kofax Inc.,Software,Private,1985,1380,100,-,https://www.kofax.com/About/our-company/careers,"Irvine, CA",kofax.com,23.41240654
"Hortonworks, Inc.",Software,Private,2011,1110,1,-,https://www.cloudera.com/careers/teams/university-recruiting.html,"Santa Clara,CA",hortonworks.com,23.40945078
"GrabCAD, Inc.",Other,Public,2009,80,865,-,https://resources.grabcad.com/jobs/,"Cambridge, MA",grabcad.com,23.40643454
"LogMeIn, Inc.",Software,Private,2003,3970,1260,-,https://www.logmeininc.com/careers,"Boston, MA",logmeininc.com,23.40215903
Brandfolder,"Software,Consulting",Private,2012,50,24,-,https://jobs.brandfolder.com/,"Denver, CO",brandfolder.com,23.40058506
"NETSCOUT Systems, Inc.",Other,Public,1984,3000,1160,62.1,https://www.netscout.com/company/be-a-guardian,"Westford, MA",netscout.com,23.39324086
Sumo Logic,"Software,Consulting,Security",Public,2010,800,155,-,https://www.sumologic.com/company/careers/,"Redwood City, CA",sumologic.com,23.36783762
Caliper Corporation,Software,Private,1983,150,19.2,-,https://www.caliper.com/jobs.htm,"Princeton, NJ",caliper.com,23.36140395
NationBuilder,Software,Private,2009,100,14.8,-,https://nationbuilder.com/careers,Los Angeles,nationbuilder.com,23.36094927
Shopkick,Other,Private,2009,160,2500,-,https://www.shopkick.com/careers,"Redwood City, CA",shopkick.com,23.33799103
"Tyler Technologies, Inc.",Software,Public,1966,5370,1090,156,https://www.tylertech.com/careers,"Plano, TX",tylertech.com,23.33293972
Code42,Software,Private,2001,500,100,-,https://www.code42.com/careers/,"Minneapolis, MN",code42.com,23.3249193
Boris FX,"Software,Multimedia",Private,1995,145,9,-,https://borisfx.com/company/careers/,"Boston, MA",borisfx.com,23.32129356
"PKWARE, Inc",Software,Private,1986,100,14.1,-,https://www.pkware.com/careers,"Milwaukee, WI",pkware.com,23.32094461
Hubstaff,Other,Private,2012,60,3800,-,https://hubstaff.com/jobs,"Indianapolis, IN",hubstaff.com,23.30578766
Forcepoint LLC,"Consulting,Security",Private,1994,2300,658,-,https://www.forcepoint.com/company/careers,"Austin, TX",forcepoint.com,23.30394586
Jive,Other,Private,2001,660,196,-,https://www.jivesoftware.com/company/,"Palo Alto, CA",jivesoftware.com,23.2869192
Telenav,Other,Public,1999,580,240,,https://careers.telenav.com/,"Santa Clara, CA",telenav.com,23.28653122
ITA Software LLC,"Software,Travel",Private,1996,450,38,-,https://www.zippia.com/ita-software-careers-513200/,"Cambridge, MA",itasoftware.com,23.28408147
PARC,Other,Private,1970,200,16.9,-,https://www.parc.com/blog/a-bright-future-ahead-for-2018-parc-interns/,"Palo Alto, CA",parc.com,23.28181406
Wanderu,"Software,Travel",Private,2011,45,200,-,https://www.wanderu.com/blog/wanderu-careers/,"Boston, MA",wanderu.com,23.28171325
EON Reality,"Consulting,Artificial Intelligence",Private,1999,50,28.1,-,https://eonreality.com/tag/student-recruitment/,"Irvine, CA",eonreality.com,23.28061233
Procore Technologies,Software,Private,2003,1600,289,-,https://www.procore.com/jobs,"Carpinteria, CA",procore.com,23.25553555
Universal Robots,Automobiles,Private,2005,680,248,-,https://www.universal-robots.com/career/,,universal-robots.com,23.24743526
